"rank","username","acc","playcount","performance","SS","S","A"
443,"[ Hyung ]",99.39,79144,11046,88,1541,1230
444,"SlimeDrippy",98.65,73332,11031,36,910,368
445,"Tomatonium",98.53,78473,11029,184,1084,898
446,"Inverse",97.9,138452,11028,63,855,1034
447,"Meniwa",97.26,38528,11027,9,435,761
448,"Sickoh",98.45,133813,11027,62,749,865
449,"Shikke",98.13,25920,11025,54,344,490
450,"Lexion",98.84,109907,11024,376,2498,3525
451,"-Demon",97.86,46849,11018,6,95,537
452,"Kepler",92.86,72613,11018,6,510,689
453,"Disaster",98.33,54373,11017,7,479,1266
454,"not very smart",95.48,78019,11003,0,499,839
455,"csm",96.41,28175,10996,60,360,273
456,"Korilak",99.42,86920,10993,73,528,691
457,"kodama",99.14,33514,10992,78,1461,2487
458,"BoshyMan741",97.57,86198,10986,139,1176,1684
459,"iamVill",97.89,61490,10984,29,741,688
460,"TheFifouSlain",98.57,77836,10983,47,577,709
461,"Big Z",98.8,120135,10978,310,1609,1202
462,"YesTak",98.55,149390,10973,120,1468,1882
463,"Alistair",97.24,79387,10968,8,555,830
464,"cir",96.21,91261,10967,39,748,721
465,"hyeok2044",96.92,57669,10967,37,828,1365
466,"gissirianko",98.34,106292,10958,166,1443,1010
467,"KagenoKami",98.14,90678,10957,34,619,800
468,"Reimu-Desu",99.41,115961,10946,278,1791,666
469,"Tsundoge",97.65,129582,10941,55,762,2045
470,"MyAimHugofrost",95.57,111967,10941,114,681,613
471,"MinerZeta",95.63,95700,10936,17,384,647
472,"MegaMK",97.95,134331,10935,90,845,611
473,"-Konpaku-",98.86,85452,10933,67,1085,1034
474,"loligirl",99.35,79487,10929,76,1723,614
475,"Malolat",99.1,115219,10929,89,929,1043
476,"Juh",98.81,76941,10929,53,523,1428
477,"san-lotso",97.22,72182,10928,28,650,811
478,"Suva",97.73,168980,10919,87,1082,1182
479,"kuu01",98.39,122788,10915,52,1217,1807
480,"NeruNeru",96.66,123671,10911,119,1820,789
481,"Aoba Karingo",98.19,185937,10906,37,893,914
482,"Veth",99.32,121152,10906,426,1106,889
483,"Resh",97.12,109468,10906,35,561,1221
484,"Calideon-",97.51,27834,10905,76,573,1355
485,"FeriOP",99.06,153705,10903,135,1559,2592
486,"unko",95.47,74265,10900,162,558,769
487,"Yellowl",99.6,98104,10898,249,1253,466
488,"Fr0zen",96.98,85592,10892,22,450,644
489,"CORPUS CHRISTI",99.19,44655,10888,86,1022,1248
490,"Chitogod",98.81,47297,10887,14,780,720
491,"czapek",95.86,7228,10886,7,119,256
492,"Neta",98.91,119384,10884,366,4357,175
493,"Eemil",98.24,76345,10880,70,1086,1058
494,"Vandabe",98.1,147371,10880,164,2179,1231
495,"Riushi",97.08,213125,10877,80,2378,1601
496,"Tarulas",98.77,91056,10876,51,1129,610
497,"mnn",99.07,52585,10876,46,156,300
498,"TheOmyNomy",99.1,101985,10872,396,1728,452
499,"Beafowl",99.4,115858,10871,311,981,617
500,"kiiro127",97.86,101064,10871,59,941,1941
501,"KevstracK",98.09,107329,10870,82,1050,1317
502,"Distracted",98.73,130218,10854,88,1052,1467
503,"tomadoi",98.76,81412,10854,311,2158,1609
504,"nomaiza",97.92,123435,10853,16,1010,1311
505,"alkalde",97.72,92669,10853,92,1128,1170
506,"egemenbsrms",97.66,75677,10852,36,494,1229
507,"kevjn",98.46,37704,10850,25,270,631
508,"Ranked",95.97,78791,10850,99,1796,1628
509,"respektive",98.98,109001,10848,492,2965,1586
510,"Cellina",98.77,144814,10846,45,748,789
511,"MKSA",98.62,62381,10844,173,1036,1217
512,"core98k",97.59,52151,10844,18,730,1345
513,"krautz sieberg",97.82,6163,10843,4,147,216
514,"minna daisuki",95.77,47088,10840,82,1061,907
515,"Astana",97.55,94241,10840,20,728,967
516,"rinkon",98.82,189717,10839,190,3507,1070
517,"jackylam5",98.32,141182,10834,174,2983,1086
518,"R-15G",97.3,89845,10830,973,854,807
519,"overcomplexifii",99.09,95770,10827,36,1183,1143
520,"NerO",97.99,132297,10827,161,1809,1164
521,"TheKid217",99.51,125711,10826,1090,2149,2008
522,"waaiiru",98.54,215000,10825,153,1860,1767
523,"follon",98.98,104112,10822,277,1152,1084
524,"Zabijaka",98.5,179125,10820,123,1408,1665
525,"LittleDan",98.64,73683,10820,52,760,295
526,"Mayoler",98.93,122909,10819,191,2293,834
527,"Boggles",97.76,76774,10818,159,1624,1053
528,"Crisco",98.72,161816,10809,50,815,1059
529,"Kingling",98.82,126164,10806,787,1916,1974
530,"Sanjilift",98.16,171952,10806,32,1155,1103
531,"LogicSystem",98.77,109744,10804,84,1304,1992
532,"OPJames",99.11,82896,10802,59,951,1117
533,"Garch",97.67,187056,10801,30,2709,2184
534,"Riuzaky",98.06,109728,10795,45,641,910
